,8,32,64,128
0,1.0,1.0,1.0,1.0
1,1.0,1.0,0.99951171875,0.9989013671875
2,1.0,0.998046875,0.998046875,0.9981689453125
3,1.0,0.99609375,0.99853515625,0.9969482421875
4,1.0,0.9921875,0.9951171875,0.995361328125
5,1.0,0.994140625,0.99462890625,0.994384765625
6,1.0,0.982421875,0.99365234375,0.9937744140625
7,1.0,0.9921875,0.99072265625,0.98974609375
8,1.0,0.984375,0.9853515625,0.9837646484375
9,1.0,0.98046875,0.98046875,0.982421875
10,1.0,0.966796875,0.98193359375,0.97607421875
11,0.9375,0.978515625,0.9755859375,0.9747314453125
12,1.0,0.974609375,0.96240234375,0.96435546875
13,0.96875,0.966796875,0.95703125,0.95751953125
14,0.96875,0.95703125,0.9404296875,0.9405517578125
15,1.0,0.94921875,0.9248046875,0.9432373046875
16,0.9375,0.900390625,0.90771484375,0.9232177734375
17,0.875,0.919921875,0.90185546875,0.9075927734375
18,0.78125,0.857421875,0.87890625,0.858154296875
19,0.875,0.830078125,0.8330078125,0.8115234375
20,0.84375,0.771484375,0.763671875,0.7664794921875
21,0.09375,0.6796875,0.69384765625,0.7021484375
22,0.90625,0.662109375,0.48486328125,0.5399169921875
23,0.75,0.666015625,0.1865234375,0.39111328125
24,0.53125,0.57421875,0.08837890625,0.166015625
25,0.25,0.017578125,0.13818359375,0.048828125
26,0.59375,0.068359375,0.1015625,0.0433349609375
27,0.0625,0.125,0.04345703125,0.0179443359375
28,0.59375,0.078125,0.0126953125,0.0150146484375
29,0.4375,0.1015625,0.0263671875,0.0206298828125
30,0.6875,0.015625,0.04052734375,0.0032958984375
31,0.40625,0.142578125,0.015625,0.019775390625
32,0.34375,0.138671875,0.05517578125,0.0400390625
33,0.21875,0.01171875,0.0029296875,0.043701171875
34,0.3125,0.13671875,0.08203125,0.019287109375
35,0.1875,0.05078125,0.05419921875,0.0361328125
36,0.59375,0.064453125,0.02783203125,0.0400390625
37,0.1875,0.228515625,0.02490234375,0.027587890625
38,0.40625,0.04296875,0.00927734375,0.01025390625
39,0.21875,0.005859375,0.0361328125,0.0020751953125
40,0.28125,0.044921875,0.12158203125,0.0140380859375
41,0.15625,0.037109375,0.03564453125,0.0228271484375
42,0.21875,0.044921875,0.06103515625,0.013916015625
43,0.46875,0.05078125,0.0322265625,0.01806640625
44,0.53125,0.0546875,0.0546875,0.0020751953125
45,0.125,0.15234375,0.0341796875,0.0257568359375
46,0.25,0.021484375,0.02880859375,0.035400390625
47,0.1875,0.080078125,0.06494140625,0.012451171875
48,0.3125,0.04296875,0.00244140625,0.0030517578125
49,0.4375,0.16015625,0.056640625,0.0018310546875
