,Campo,Magnetización
0,-4.0,-0.9892578125
1,-3.919191919191919,-0.98876953125
2,-3.8383838383838382,-0.98974609375
3,-3.757575757575758,-0.9931640625
4,-3.676767676767677,-0.9873046875
5,-3.595959595959596,-0.984375
6,-3.515151515151515,-0.98828125
7,-3.4343434343434343,-0.98193359375
8,-3.3535353535353534,-0.982421875
9,-3.2727272727272725,-0.98388671875
10,-3.191919191919192,-0.986328125
11,-3.111111111111111,-0.98095703125
12,-3.0303030303030303,-0.97265625
13,-2.9494949494949494,-0.986328125
14,-2.8686868686868685,-0.9765625
15,-2.787878787878788,-0.978515625
16,-2.7070707070707067,-0.97705078125
17,-2.6262626262626263,-0.9677734375
18,-2.5454545454545454,-0.96728515625
19,-2.4646464646464645,-0.96337890625
20,-2.3838383838383836,-0.96728515625
21,-2.3030303030303028,-0.96728515625
22,-2.2222222222222223,-0.966796875
23,-2.141414141414141,-0.953125
24,-2.0606060606060606,-0.95703125
25,-1.9797979797979797,-0.95458984375
26,-1.8989898989898988,-0.95166015625
27,-1.818181818181818,-0.95361328125
28,-1.737373737373737,-0.93701171875
29,-1.6565656565656566,-0.93798828125
30,-1.5757575757575757,-0.94384765625
31,-1.4949494949494948,-0.931640625
32,-1.414141414141414,-0.92529296875
33,-1.333333333333333,-0.92431640625
34,-1.2525252525252522,-0.8984375
35,-1.1717171717171713,-0.88818359375
36,-1.0909090909090908,-0.88818359375
37,-1.01010101010101,-0.88134765625
38,-0.9292929292929291,-0.8818359375
39,-0.8484848484848482,-0.85400390625
40,-0.7676767676767673,-0.8271484375
41,-0.6868686868686864,-0.81494140625
42,-0.606060606060606,-0.81884765625
43,-0.5252525252525251,-0.78564453125
44,-0.4444444444444442,-0.73876953125
45,-0.3636363636363633,-0.7060546875
46,-0.28282828282828243,-0.65234375
47,-0.20202020202020154,-0.57177734375
48,-0.1212121212121211,-0.423828125
49,-0.04040404040404022,-0.1572265625
50,0.040404040404040664,0.166015625
51,0.12121212121212199,0.33447265625
52,0.20202020202020243,0.50830078125
53,0.2828282828282829,0.6748046875
54,0.3636363636363642,0.705078125
55,0.44444444444444464,0.7001953125
56,0.525252525252526,0.763671875
57,0.6060606060606064,0.8388671875
58,0.6868686868686869,0.81982421875
59,0.7676767676767682,0.84423828125
60,0.8484848484848486,0.8515625
61,0.92929292929293,0.8662109375
62,1.0101010101010104,0.88916015625
63,1.0909090909090917,0.90283203125
64,1.1717171717171722,0.9140625
65,1.2525252525252526,0.90869140625
66,1.333333333333334,0.9150390625
67,1.4141414141414144,0.9365234375
68,1.4949494949494957,0.9248046875
69,1.5757575757575761,0.9404296875
70,1.6565656565656575,0.92919921875
71,1.737373737373738,0.94384765625
72,1.8181818181818183,0.9423828125
73,1.8989898989898997,0.95263671875
74,1.9797979797979801,0.95654296875
75,2.0606060606060614,0.95703125
76,2.141414141414142,0.95654296875
77,2.2222222222222223,0.9658203125
78,2.3030303030303036,0.94775390625
79,2.383838383838384,0.97119140625
80,2.4646464646464654,0.97216796875
81,2.545454545454546,0.9677734375
82,2.626262626262627,0.970703125
83,2.7070707070707076,0.982421875
84,2.787878787878788,0.9677734375
85,2.8686868686868694,0.96826171875
86,2.94949494949495,0.97216796875
87,3.030303030303031,0.97900390625
88,3.1111111111111116,0.97802734375
89,3.191919191919193,0.984375
90,3.2727272727272734,0.9853515625
91,3.353535353535354,0.98291015625
92,3.434343434343435,0.986328125
93,3.5151515151515156,0.98681640625
94,3.595959595959597,0.9833984375
95,3.6767676767676774,0.98583984375
96,3.757575757575758,0.98681640625
97,3.838383838383839,0.9892578125
98,3.9191919191919196,0.98876953125
99,4.0,0.98779296875
100,4.0,0.98828125
101,3.9191919191919196,0.98681640625
102,3.838383838383839,0.98583984375
103,3.757575757575758,0.98828125
104,3.6767676767676774,0.9892578125
105,3.595959595959597,0.984375
106,3.5151515151515156,0.986328125
107,3.434343434343435,0.9912109375
108,3.353535353535354,0.98388671875
109,3.2727272727272734,0.98583984375
110,3.191919191919193,0.9755859375
111,3.1111111111111116,0.9716796875
112,3.030303030303031,0.97900390625
113,2.94949494949495,0.97705078125
114,2.8686868686868694,0.9765625
115,2.787878787878788,0.97216796875
116,2.7070707070707076,0.97021484375
117,2.626262626262627,0.98046875
118,2.545454545454546,0.9716796875
119,2.4646464646464654,0.96630859375
120,2.383838383838384,0.9599609375
121,2.3030303030303036,0.966796875
122,2.2222222222222223,0.96484375
123,2.141414141414142,0.96044921875
124,2.0606060606060614,0.9560546875
125,1.9797979797979801,0.939453125
126,1.8989898989898997,0.9443359375
127,1.8181818181818183,0.9482421875
128,1.737373737373738,0.94287109375
129,1.6565656565656575,0.939453125
130,1.5757575757575761,0.9404296875
131,1.4949494949494957,0.92138671875
132,1.4141414141414144,0.93017578125
133,1.333333333333334,0.9228515625
134,1.2525252525252526,0.9072265625
135,1.1717171717171722,0.90283203125
136,1.0909090909090917,0.89892578125
137,1.0101010101010104,0.88720703125
138,0.92929292929293,0.86474609375
139,0.8484848484848486,0.84130859375
140,0.7676767676767682,0.84814453125
141,0.6868686868686869,0.82763671875
142,0.6060606060606064,0.802734375
143,0.525252525252526,0.7626953125
144,0.44444444444444464,0.76220703125
145,0.3636363636363642,0.73681640625
146,0.2828282828282829,0.6376953125
147,0.20202020202020243,0.56982421875
148,0.12121212121212199,0.3623046875
149,0.040404040404040664,0.10693359375
150,-0.04040404040404022,-0.2451171875
151,-0.1212121212121211,-0.41015625
152,-0.20202020202020154,-0.5576171875
153,-0.28282828282828243,-0.6748046875
