,1.0,2.0,2.5,3.0,5.0
0,-0.9998779296875,-0.9998779296875,-0.9993896484375,-0.9967041015625,-0.9609375
1,-0.9998779296875,-0.999755859375,-0.9993896484375,-0.9967041015625,-0.9581298828125
2,-0.9998779296875,-0.9998779296875,-0.9989013671875,-0.996337890625,-0.9561767578125
3,-0.9998779296875,-0.9996337890625,-0.9991455078125,-0.9967041015625,-0.9615478515625
4,-0.9998779296875,-0.999755859375,-0.9991455078125,-0.9976806640625,-0.9580078125
5,-0.9998779296875,-0.999755859375,-0.998779296875,-0.9967041015625,-0.9527587890625
6,-0.9998779296875,-0.9998779296875,-0.9989013671875,-0.99560546875,-0.95458984375
7,-0.9998779296875,-0.999755859375,-0.999267578125,-0.996826171875,-0.952392578125
8,-0.9998779296875,-0.99951171875,-0.9984130859375,-0.9962158203125,-0.954345703125
9,-0.9998779296875,-0.9996337890625,-0.99853515625,-0.9959716796875,-0.949462890625
10,-0.9998779296875,-0.99951171875,-0.998779296875,-0.9954833984375,-0.9500732421875
11,-0.9998779296875,-0.99951171875,-0.998779296875,-0.994873046875,-0.9468994140625
12,-0.9998779296875,-0.999755859375,-0.998779296875,-0.9962158203125,-0.9451904296875
13,-0.9998779296875,-0.9998779296875,-0.998779296875,-0.99560546875,-0.9454345703125
14,-0.9998779296875,-0.99951171875,-0.99853515625,-0.9962158203125,-0.940673828125
15,-0.9998779296875,-0.9996337890625,-0.9986572265625,-0.9937744140625,-0.935302734375
16,-0.9998779296875,-0.999755859375,-0.9986572265625,-0.99462890625,-0.94189453125
17,-0.9998779296875,-0.99951171875,-0.99853515625,-0.9931640625,-0.9449462890625
18,-0.9998779296875,-0.9996337890625,-0.998291015625,-0.994873046875,-0.9354248046875
19,-0.9998779296875,-0.99951171875,-0.9981689453125,-0.994873046875,-0.9337158203125
20,-0.9998779296875,-0.9993896484375,-0.998779296875,-0.9937744140625,-0.9326171875
21,-0.9998779296875,-0.99951171875,-0.997802734375,-0.993408203125,-0.9293212890625
22,-0.9998779296875,-0.999267578125,-0.9979248046875,-0.9935302734375,-0.9320068359375
23,-0.9998779296875,-0.9990234375,-0.9962158203125,-0.9927978515625,-0.9295654296875
24,-0.9998779296875,-0.99951171875,-0.9974365234375,-0.9925537109375,-0.923095703125
25,-0.9998779296875,-0.999755859375,-0.998291015625,-0.9937744140625,-0.9228515625
26,-0.9998779296875,-0.999755859375,-0.9974365234375,-0.990966796875,-0.9215087890625
27,-0.9998779296875,-0.999267578125,-0.9974365234375,-0.98974609375,-0.918212890625
28,-0.9998779296875,-0.999267578125,-0.998291015625,-0.9923095703125,-0.912841796875
29,-0.9998779296875,-0.9989013671875,-0.9957275390625,-0.9908447265625,-0.91552734375
30,-0.9998779296875,-0.99951171875,-0.9981689453125,-0.9937744140625,-0.908203125
31,-0.9998779296875,-0.999267578125,-0.9947509765625,-0.9901123046875,-0.90771484375
32,-0.9998779296875,-0.99951171875,-0.9974365234375,-0.99169921875,-0.9000244140625
